Control_Count,Date_Replied,Status,Unique_identifier,Likely_to_recommend_Online_Site_MY_SITE,Purchased_from_Site_A,Purchased_from_Site_B,Purchased_from_Site_C,Purchased_from_Site_D,Purchased_from_Site_E,Purchased_from_Site_F,Purchased_from_Site_G,Purchased_from_Site_H,Purchased_from_Site_I,Purchased_from_Site_J,Purchased_from_Site_K,Purchased_from_Site_L,Purchased_from_Site_M,Purchased_from_Site_N,Purchased_from_Site_O,Purchased_from_Site_P,Purchased_from_Site_Q,Purchased_from_Site_R,Purchased_from_Site_S,Purchased_from_Site_T,Purchased_from_Site_U,Purchased_from_Site_V,Purchased_from_Site_W,Purchased_from_Site_X,Purchased_from_Site_Y,Purchased_from_MY_SITE_only,No_of_Online_Sites_used,MYSITE_Rank,Sales_reps_Responsiveness,Sales_reps_ease_of_making_contact,Sales_reps_general_attitude,Sales_reps_quotation,Sales_reps_relationship,Sales_reps_overall_satisfaction,Customer_service_Responsiveness,Customer_service_Ease_of_making_contact,Customer_service_general_attitude,Customer_service_Knowledge_of_business,Customer_service_issue_resolution,Customer_service_keeping_customers_informed,Customer_service_Overall_satisfaction,Delivery_on_time_schedules,Delivery_on_time_coverage,Delivery_on_time_keeping_customers_informed,Delivery_on_time_accuracy_transit_time,Delivery_on_time_availability_of_products,Delivery_on_time_speed,Delivery_on_time_Overall_satisfaction,Ease_of_business_booking,Ease_of_business_documentation,Ease_of_business_invoicing,Ease_of_business_online_system,Ease_of_business_overall_satisfaction,Improving_business_opps_knowledge_of_business,Improving_business_opps_understanding_of_needs,Improving_business_opps_demonstrating_opps,Improving_business_opps_specific_offers,Improving_business_opps_overall_satisfaction,Overall_Satisfaction_taking_everything_into_account,Proportion_of_purchase_made_with_MY_SITE,Future_proportion_of_purchase_made_at_MY_SITE
Day 1,19-08-2016,COMPLETED,711315000105288,10,,1,1,,,1,,,1,,,,,1,1,,,1,1,,,,,,,,9,2,8,8,10,10,10,10,10,9,5,5,4,99,9,9,10,8,10,10,10,10,5,2,2,8,8,8,7,8,7,6,8,76% to 99%,Increase
Day 1,19-08-2016,COMPLETED,391315000163276,7,,1,,1,,1,1,,1,,,,,,1,1,,,,,,,,,,,8,2,9,9,8,8,9,9,9,9,9,9,10,9,8,8,8,9,8,9,8,8,8,9,8,8,8,8,10,9,7,8,9,26% to 50%,Increase
Day 1,19-08-2016,COMPLETED,501315000258371,6,,1,1,,,,1,1,1,1,1,,,1,1,1,1,,1,1,,,1,1,,,16,7,99,99,99,99,99,99,1,8,7,7,5,1,6,7,8,1,8,8,6,6,7,4,1,8,6,99,99,99,99,99,6,Don’t know,Don’t know
Day 1,19-08-2016,COMPLETED,1001315000329142,7,,1,1,1,,,1,,1,,,,,1,1,1,,1,,,1,,1,1,,,13,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6% to 15%,Stay the same
Day 1,19-08-2016,COMPLETED,101315000387196,7,,,,,,,,,,,,,,,,,,,1,,,,,1,,,3,1,10,10,10,10,10,10,4,10,5,4,10,9,6,9,10,9,8,10,9,9,1,7,1,1,2,10,10,10,10,9,9,51% to 75%,Increase
Day 1,19-08-2016,COMPLETED,301315000404205,10,,1,,,,1,1,,,,1,,,1,1,,,1,1,,,,,,,,9,1,9,9,10,99,10,10,9,9,10,10,9,10,10,99,10,10,9,9,10,9,99,10,10,10,10,10,10,10,10,10,10,51% to 75%,Increase
Day 1,19-08-2016,COMPLETED,351315000405150,10,,,,,,,,,,,,,,,1,,,,,1,,,,,,,3,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,76% to 99%,Increase
Day 1,19-08-2016,COMPLETED,821315000422114,7,,1,,1,,,1,,1,,1,,,1,1,1,,,,1,,,,1,,,11,2,6,5,5,6,6,6,5,4,5,4,5,5,5,7,8,8,8,6,8,8,6,6,5,5,6,6,6,7,6,7,6,6% to 15%,Stay the same
Day 1,19-08-2016,COMPLETED,221315000436182,7,1,1,,1,1,,1,,1,1,1,,,1,1,1,1,,1,1,1,,,,,,16,2,7,2,9,7,10,8,7,3,8,5,5,1,6,8,8,5,8,9,7,8,9,6,4,9,7,8,7,6,7,7,7,26% to 50%,Increase
Day 1,19-08-2016,COMPLETED,601315000525136,6,,1,1,,,,,,,,1,,,1,1,,,,,,1,,,,,,7,5,4,5,6,3,5,5,6,4,7,6,5,8,6,7,7,6,5,6,5,7,8,7,3,6,5,4,6,4,5,5,6,16% to 25%,Stay the same
Day 2,20-08-2016,COMPLETED,421315000337173,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,99,99,99,99,99,99,8,7,9,7,8,8,8,99,9,9,7,6,8,8,99,99,99,8,8,99,99,99,99,99,8,Prefer not to say,Prefer not to say
Day 2,20-08-2016,COMPLETED,11315000528303,9,1,1,1,,1,1,,1,,,,,,,,,1,1,,,1,,1,,,,11,3,99,99,99,99,99,99,10,8,9,9,5,5,9,99,99,99,5,99,99,99,99,9,7,9,9,99,99,99,99,99,9,Don’t know,Stay the same
Day 2,20-08-2016,COMPLETED,101315000670174,7,,,,,1,,,,,,,,,,1,,,,,,,,,,,,3,3,10,10,10,10,10,10,10,10,10,9,99,10,10,10,10,10,10,10,10,10,10,7,9,5,7,10,10,10,10,10,8,6% to 15%,Don’t know
Day 2,20-08-2016,COMPLETED,741315001359159,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,5,5,5,5,5,8,8,10,8,8,8,8,5,9,9,9,9,9,9,10,10,5,10,10,99,99,99,99,99,9,,Don’t know
Day 2,20-08-2016,COMPLETED,451315003544137,10,,1,,,,1,,1,1,,1,,,,,1,1,,,,1,,1,1,,,11,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Prefer not to say,Increase
Day 2,20-08-2016,COMPLETED,171315003841164,2,,1,,,,1,,,,1,1,,,1,1,,,,,,,,,,,,7,4,0,0,1,1,1,1,1,2,4,1,2,5,2,7,8,6,7,9,8,7,6,6,3,6,6,2,2,2,5,3,6,26% to 50%,Decrease
Day 2,20-08-2016,COMPLETED,101315004069366,5,,1,1,,,,1,,1,1,,,,,1,1,,,,,1,,,,1,,10,7,4,4,6,6,7,5,2,3,6,3,3,8,3,8,9,8,8,8,8,8,8,6,6,99,7,8,8,4,4,5,5,1% to 5%,Stay the same
Day 2,20-08-2016,COMPLETED,711315004628245,7,1,,,,,,,,1,,,,,,,,1,,,,,1,,,,,5,3,5,5,5,5,5,5,5,5,5,5,5,7,5,6,6,5,6,5,5,7,7,7,7,7,7,5,6,6,6,6,7,26% to 50%,Stay the same
Day 2,20-08-2016,COMPLETED,661315004876234,10,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,1,,1,,,,,,16,5,8,8,8,8,8,8,5,2,2,2,1,5,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,51% to 75%,Prefer not to say
Day 2,20-08-2016,COMPLETED,761315005450153,0,1,1,,,,1,,,1,,1,,,,,,,,,,,,,1,,,7,,1,1,2,2,2,2,2,3,2,2,2,1,2,2,2,3,3,1,2,1,3,2,3,4,4,4,2,4,3,3,2,6% to 15%,Increase
Day 2,20-08-2016,COMPLETED,31315005482118,7,1,1,1,,1,1,1,1,1,1,1,,,1,1,,1,,1,1,1,,1,,,,18,5,8,9,9,0,10,7,5,0,5,5,2,5,1,8,9,7,9,5,9,9,7,4,8,0,6,7,9,6,8,8,6,1% to 5%,Increase
Day 2,20-08-2016,COMPLETED,401315007010232,7,,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,,1,1,,,,1,,,17,6,7,7,7,7,7,7,3,2,3,3,4,3,3,3,5,2,4,3,3,4,7,7,5,7,7,7,7,7,7,7,7,16% to 25%,Stay the same
Day 2,20-08-2016,COMPLETED,541315007253136,6,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,5,1,10,10,10,10,10,10,7,6,10,7,0,7,10,8,8,8,8,8,8,8,7,8,0,99,6,8,8,7,7,6,5,26% to 50%,Increase
Day 2,20-08-2016,COMPLETED,71315008000233,2,,1,,,,,,,,,,,,,,,1,,1,,,1,,1,,,6,1,5,8,8,8,9,9,8,8,6,5,6,5,8,9,9,9,9,9,9,9,9,9,8,9,9,8,9,8,8,9,8,51% to 75%,Stay the same
Day 2,20-08-2016,COMPLETED,771315009022261,10,,1,,1,1,,,,1,,,,,,1,,,,1,,,1,1,,,,9,1,10,10,10,10,10,10,7,7,7,7,8,7,7,9,9,9,9,7,9,9,8,6,5,8,8,9,9,9,9,9,9,51% to 75%,Increase
Day 2,20-08-2016,COMPLETED,781315009375281,8,,1,,,,,,1,1,,,,,1,,,,,,,,,,,1,,6,,9,10,9,99,9,9,9,9,9,8,9,1,8,7,99,1,99,99,99,5,99,99,99,99,99,99,99,99,99,99,7,76% to 99%,Increase
Day 2,20-08-2016,COMPLETED,451315009772148,0,,,1,,,,1,,1,,,,,1,,1,,,,,,,,,1,,7,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,99,0,4,99,99,0,0,0,99,0,0,99,0,99,99,99,0,16% to 25%,Decrease
Day 2,20-08-2016,COMPLETED,491315009907346,8,1,1,1,,1,1,1,,,,1,1,,1,1,1,1,1,1,,1,1,1,1,,,19,2,9,9,9,9,9,9,9,9,9,9,8,6,9,6,10,9,9,9,9,9,9,10,7,9,9,9,9,9,9,9,9,26% to 50%,Increase
Day 2,20-08-2016,COMPLETED,501315010883310,5,1,1,,,,,,1,1,1,,,,,1,1,,,,,1,,,,,,9,3,5,8,8,3,10,6,4,4,8,7,5,1,5,9,7,7,9,8,9,8,5,3,3,8,5,9,8,5,5,6,5,51% to 75%,Decrease
Day 2,20-08-2016,COMPLETED,331315010893109,8,,1,1,1,,,1,1,1,,1,,,,1,1,,,1,1,1,,,,1,,14,1,9,9,9,9,9,9,10,10,10,10,9,10,10,9,9,9,9,9,9,9,10,10,10,10,10,9,9,9,8,9,9,Don’t know,Increase
Day 2,20-08-2016,COMPLETED,771315013774221,6,1,1,,,,1,,1,1,1,1,,,1,,1,1,,,,,,1,1,,,13,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,1% to 5%,Increase
Day 2,20-08-2016,COMPLETED,231315014968310,0,1,1,,,1,,1,,1,,1,,,1,1,,1,,1,1,,,,,,,12,,99,99,99,99,99,99,1,1,1,1,1,1,0,5,9,5,5,9,9,3,5,0,8,5,3,2,1,2,2,0,1,1% to 5%,Decrease
Day 2,20-08-2016,COMPLETED,111315015440400,4,,1,1,,,,1,,,,,,,,,,,,1,1,,,,,,,6,,99,2,0,99,0,0,0,1,0,99,99,5,1,2,99,2,6,4,5,5,7,99,99,4,5,99,99,99,99,99,5,Don’t know,Don’t know
Day 2,20-08-2016,COMPLETED,741315016259167,8,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,4,2,10,10,9,9,9,9,9,9,9,9,7,8,9,8,10,9,9,9,9,9,9,9,9,10,9,9,9,9,8,9,9,26% to 50%,Prefer not to say
Day 2,20-08-2016,COMPLETED,871315019440192,7,,1,,,,,1,,1,,,,,,1,,,,1,,,,1,1,,,8,6,8,8,8,8,8,8,8,7,8,8,8,8,8,8,9,3,6,4,5,7,8,7,7,8,7,8,8,8,8,8,7,16% to 25%,Don’t know
Day 2,20-08-2016,COMPLETED,101315019961132,7,1,1,,,1,1,,1,,1,,,,,1,1,1,1,,,1,1,1,,,,14,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,7,10,10,10,10,10,10,10,10,10,10,10,76% to 99%,Don’t know
Day 2,20-08-2016,COMPLETED,921315020038183,9,,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,5,2,8,9,9,99,9,9,10,9,9,9,9,7,9,10,10,8,9,10,9,9,99,8,7,10,9,9,8,99,8,8,9,26% to 50%,Increase
Day 2,20-08-2016,COMPLETED,141315020084165,8,,,,,,1,,,,,,,,,,,1,,,,,,,,,,3,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,26% to 50%,Stay the same
Day 2,20-08-2016,COMPLETED,501315020312209,7,1,1,1,,1,1,1,1,1,,,,,1,1,1,1,,,,,,1,1,,,15,4,99,99,99,99,99,99,5,6,9,6,6,8,7,9,9,6,9,9,9,9,9,9,9,7,9,9,9,9,9,6,8,51% to 75%,Stay the same
Day 2,20-08-2016,COMPLETED,501315023902302,9,,1,,,,,1,,1,,,,,,1,,,,,1,,,,1,,,7,1,7,9,8,8,8,8,9,9,9,9,9,7,9,8,8,8,9,8,8,8,9,8,9,9,9,8,8,8,8,8,9,51% to 75%,Increase
Day 2,20-08-2016,COMPLETED,21315024135335,6,,1,,1,,1,1,,1,,,,,1,1,,,,1,,1,,,1,,,11,,7,7,7,7,7,7,3,7,2,4,6,6,2,7,8,7,7,8,7,7,7,7,6,7,7,7,7,7,7,7,7,16% to 25%,Decrease
